name,institutionen,staedte,laender,sprachen,disziplinen,fachbereiche,lehrstuehle,sahle_typ,tadirah,ects_dh/ects_gesamt,abschluss,studienbeginn,dauer,voraussetzungen,profil,schwerpunkte,webadresse,ansprechpartner
Digitale Geistes- und Sozialwissenschaften,2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,,,"Informatik (Visual Computing, Knowledge Representating/Processing), Soziologie, Kulturgeographie, Medienwissenschaft, Computerlinguistik, Kunstgeschichte, Buchwissenschaft",,3,,,BA (Erst- und Zweitfach),,,,"Inhalte, Theorien und Methoden der Digitalen Geistes- und Sozialwissenschaften; theoretische und praktische informationstechnologische Kenntnisse; fachliche und methodische Kompetenzen im Umgang mit digitalen Technologien in der Gesellschaft. 3 Schwerpunkte: Bild und Medien, Sprache und Literatur, Gesellschaft und Raum.",,https://www.dhss.phil.fau.de/studium/ba-studiengang/,sab.lang@fau.de
Digital Humanities,2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,"de, en",4; 11,"Ingenieurwissenschaften, Sprach- und Kulturwissenschaften",Department Digital Humanities and Social Sciences [Zahlreiche Professuren],1,"Capturing, Data Visualization, Analyzing, Interpreting,",30/30,Modulstudien (Zertifikat),Wintersemester,2,,[Nicht mehr im Katalog.],"Im Zentrum des Studienganges liegen vier Themenfelder: Daten erfassen, Daten visualisieren, Daten analysieren und verstehen, Mensch-Maschine-Interaktion. Ergänzt werden diese Themen durch einen fundierten Einblick in Medienethik und IT-Recht.",https://www.dhss.phil.fau.de/studium/modulstudien-digital-humanities/,marianna.grachova@fau.de
Digitale Kunstgeschichte,2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,de,"103-01, 103-03","Kunstgeschichte, Medienwissenschaft",?,2,"Designing, Plotting, Programming, Informations Retrieval",30/120,MA-Studienschwerpunkt,"Wintersemester, Sommersemester",4,"Studienabschluss im Bereich Kunstgeschichte, zwei moderne Fremdsprachen, Latein, Auswahlgespräch",[Nicht mehr im Katalog.],"Der Schwerpunkt „Digitale Kunstgeschichte“ ermöglicht eine fundierte Profilierung in digitalen Werkzeugen und Methoden, Einblick in Digital Humanities und einen Überblick über digitale Medienkunst. Einen großen Bereich bilden entsprechend Visualisierungsstrategien (Virtual- und Augmented Reality, Rekonstruktion, Imageplots), aber auch neue Formen der Analyse und Erschließung (Deep Learning, Computer Vision, Retrieval, Metadaten-Standards) sowie die Digitalisierung der kunsthistorischen Berufsfelder. Die Studierenden erhalten grundlegende theoretische und praktische Kompetenzen der Informatik insbesondere in der objektorientierten Programmierung (Java). Sie sind befähigt, digitale, virtuelle Kunstformen zu analysieren sowie technisch- informatische Grundlagen und Werkzeuge reflektiert für die Analyse von bild- und medienwissenschaftlichen Fragestellungen anzuwenden.",https://www.kunstgeschichte.phil.fau.de/studium/masterstudiengang/,manuel.teget-welz@fau.de
Computerlinguistik (Linguistische Informatik),2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,de,104,Sprachwissenschaft,?,2,"Programming,",80/80,BA (Erst- und Zweitfach),Wintersemester,6,"Zulassungsfrei, DSH2 oder gleichwertig, zwei Fremdsprachen",[Nicht mehr im Katalog.],"Grundlagen der Computerlinguistik, Werkzeuge und Arbeitstechniken, Grundlagen der Informatik, Konzeptionelle Modellierung, Datenbanksysteme, Multimedia-Technik, Maschinelle Sprachverarbeitung.",https://www.linguistik.phil.fau.de/teaching/,?
Computerlinguistik und Texttechnologie,36154-9 (JLUG),4020989-1 (Gießen),4011882-4,,,,,2,,,Hier wird man nicht den ganzen Master den DH zurechnen können. Also muss man präzisieren. -Patrick Sahle erledigt -Heidrun Stein-Kecks MA,,,,,,https://www.uni-giessen.de/de/fbz/fb05/germanistik/studium/studiengaenge/master-archiv/cltt,Roman.Schneider@germanistik.uni-giessen.de; Holger.H.Grumt-Suarez@germanistik.uni-giessen.de
Data Science,36154-9 (JLUG),4020989-1 (Gießen),4011882-4,,,,,3,,,DH-Anteil präzisieren -Patrick Sahle MSc,,,,,,,
Sprachtechnologie und Fremdsprachendidaktik,36154-9 (JLUG),4020989-1 (Gießen),4011882-4,,,,,2,,,MA,,,,,,,
Digital Humanities,2024315-7 (Göttingen),4021477-1 (Göttingen),4011882-4,,,,,1,,,BA,,,,,,,
Digital Humanities,2024315-7 (Göttingen),4021477-1 (Göttingen),4011882-4,,,,,1,,,MA,,,,,,,
Specialisation in Digital Humanities in the Applied Computer Science,2024315-7 (Göttingen),4021477-1 (Göttingen),4011882-4,,,,,2,,,DH-Anteil präzisieren -Patrick Sahle MSc,,,,,,,
Digitale Geisteswissenschaften,36157-4 (Graz),4021912-4 (Graz),4043271-3,,,,,1,,,MA,,,,,,,
European Multimedia Arts and Cultural Heritage Studies †,36157-4 (Graz)†,4021912-4 (Graz),4043271-3,,,,,3,,,MA,,,,,,,
Digitale Wissenschaft,Graz,,,,,,,1,,,Zertifikat,,,,,,,
Informationsmodellierungen in den Geisteswissenschaften,Graz,,,,,,,1,,,Zertifikat,,,,,,,
Embedded Digital Humanities,Hamburg,,,,,,,,,,Teil des Studiengangs Deutsche Sprache und Literatur,,,,,,,
"Weiterbildung ""Digital Humanities""",Heidelberg,,,,,,,,,,Zertifikat,,,,,,,
Digital Humanities,Jena,,,,,,,1,,30,Zertifikat,,,,,,,
European Multimedia Arts and Cultural Heritage Studies †,Köln †,,,,,,,,,,MA,,,,,,,
Informationsverarbeitung,Köln,,,,,,,1,,,BA,,,,,,,
Informationsverarbeitung,Köln,,,,,,,1,,,MA,,,,,,,
Medieninformatik,Köln,,,,,,,1,,,BA,,,,"Quasi inhaltsgleich zum Fach ""Informationsverarbeitung""",,,
Medieninformatik,Köln,,,,,,,1,,,MA,,,,,,,
IT-Zertifikat der Philosophischen Fakultät,Köln,,,,,,,,,,Zertifikat,,,,,,,
Mittelalterstudien,Köln,,,,,,,,,,DH-Anteil präzisieren -Patrick Sahle MA,,,,,,,
Humanitès numériques/Digital Humanities,Lausanne,,,,,,,,,,MSc,,,,,,,
Digital Humanities,Leipzig,,,,,,,,,,BSc,,,,,,,
Digital Humanities,Leipzig,,,,,,,,,,MSc,,,,,,,
weglassen? scheint nicht viel mit DH zu tun zu haben Digitale Medien/Kulturinformatik,2108701-5 (LU),4036512-8 (Lüneburg),4011882-4,de,103-03; 105-04,Kulturwissenschaft; Medienwissenschaft,Kultur und Ästhetik digitaler Medien - Digitale Kulturen; Kultur und Ästhetik digitaler Medien - Kulturinformatik,3,Web Development; Writing; Designing; Publishing; Sharing; Collaborating,?/30,(BA NF),Sommersemester,4,zulassungsbeschränkt,Praxisaspekt: Fähigkeiten im Umgang mit Anwenderprogrammen sowie Effizienz und Optimierungsstrategien beim Einsatz digitaler Medien; Theorieaspekt: kulturelle Konsequenzen des Gebrauchs digitaler Medien begreifen und erfassen,,https://www.leuphana.de/institute/icam/lehrangebot/bachelor-minor-digitale-medien-kulturinformatik.html,daniela.ott@leuphana.de
neu aufnehmen? Digital Humanities,2108701-5 (LU),4036512-8 (Lüneburg),4011882-4,en,103-03; 105-04,Kulturwissenschaft; Medienwissenschaft,Kultur und Ästhetik digitaler Medien - Digitale Kulturen; Kultur und Ästhetik digitaler Medien - Kulturinformatik,2,Designing; Programming; Web Development; Writing; Publishing; Communicating; Collaborating; Publishing; Contextualizing; Theorizing; Modeling; Organizing; Stylistic Analysis; Data Recognition; Extracting; Gathering; Dicovering,,B.A.,Wintersemester,6,Eigenes Zulassungsverfahren,,,https://www.leuphana.de/institute/icam/lehrangebot/bachelor-major-digital-media.html,daniela.ott@leuphana.de
Digitale Methodik in den Geistes- und Kulturwissenschaften,2024320-0 (JGU),4037124-4 (Mainz),4011882-4,de,11,Geistes- und Kulturwissenschaft,Digitale Methodik in den Geistes- und Kulturwissenschaften; Musikwissenschaft,1,Data Cleansing; Annotating; Editing; Collaborating; Commenting; Publishing; Sharing; Communicating; Web Development; Writing; Programming; Designing; Transcribing; Gathering; Extracting; Data Recognition; Converting,46/120,M.A.,Wintersemester,4,Bachelor in einer Geistes- und Kulturwissenschaft oder in Informatik bzw. einer angewandten Informatik; zulassungsbeschränkt,"Möglicher Schwerpunkt aus folgender Liste: Raumbezogene Daten in interdisziplinärem Kontext, Musikinformatik und digitale Musikedition, Digitale Translationstechnologien, Digital English Linguistics, Digitale Editorik, Modellierung",,https://www.digitale-methodik.uni-mainz.de/,niedermu@uni-mainz.de
Cultural Data Studies,2001630-X (PU),4037446-4 (Marburg),4011882-4,de,105-04,Kulturwissenschaft,Kunstgeschichte und Digital Humanities; Informatik; Politikwissenschaft; Digital Humanities; Europäische Ethnologie / Kunstwissenschaft; Medienwissenschaft; Germanistische Sprachwissenschaft,1,Content Analysis; Modeling; Theorizing; Contextualizing; Programming; Preserving; Organizing; Archiving; Identifying; Structural Analysis; Relational Analysis; Content Analysis; Sharing; Publishing; Communicating; Commenting; Collaborating; Gathering; Extracting; Data Recognition,120/120,M.A.,Wintersemester,4,zulassungsbeschränkt; Eignungsfeststellungsverfahren,Im Zentrum des Studiengangs steht der Umgang mit Kulturdaten ('Cultural Data') im weitesten Sinne - von dem digitalisierten Kunstwerk bis zu sozialen Interaktionen auf Twitter; Ein besonderes Augenmerk richtet der Studiengang dabei auf die Forschungspraxis,,https://www.uni-marburg.de/de/mcdci/studium/ma-cds,cds@uni-marburg
Digital Humanities - Sprachwissenschaft,2002585-3 (LMU),4127793-4 (München),4011882-4,de,104,Sprachwissenschaft,Romanische Philologie; Moderne Englische Sprachwissenschaft; Germanistische Linguistik,2,Programming; Designing; Web Development; Collaborating; Sharing; Communicating; Commenting; Annotating; Data Cleansing; Editing; Modeling; Theorizing; Contextualizing; Organizing; Preserving; Identifying; Archiving; Converting; Data Recognition; Extracting; Gathering; Discovering,36/60,(BA NF),Wintersemester,6,,"Digitale Techniken, die von Sprachwissenschaftlern im modernen Forschungsalltag benötigt werden; Zwei mögliche Schwerpunkte aus folgender Liste: Korpuslinguistik, Variation & Wandel, Webtechnologie, Sprachtechnologie & Statistik",,https://www.sprach-und-literaturwissenschaften.uni-muenchen.de/studium/dhs/index.html,Markus.Frank@itg.uni-muenchen.de
Digital Humanities,64857-7 (Uni),4044283-4 (Paderborn),4011882-4,de,11,Kultur- und Geisteswissenschaften,?,1,Programming; Converting; Data Recognition; Extracting; Collaborating; Commenting; Communicating; Publishing; Annotating; Data Cleansing; Editing; Modeling; Theorizing; Contextualizing; Archiving; Preserving; Identifying; Organizing; Content Analysis,45/45,M.A.,Wintersemester,4,"Bachelor mit folgenden Inhalten: Verständnis von grundlegenden und/oder vertieften Methoden, Prinzipien, Konzepten, Arbeitsweisen der eigenen Fachdisziplin, Wissensanwendung und Problemlösungskompetenz im jeweiligen Fachgebiet, Kompetenz zu fachbezogener Argumentation und fachbezogenem Austausch",Zwei-Fach-Master,,https://www.uni-paderborn.de/studienangebot/studiengang/digital-humanities-zwei-fach-master-master,tobias.matzner@uni-paderborn.de
Historical Sciences,13388-7 (Uni),4044828-9 (Passau),4011882-4,,,,,,,,,,,,Läuft aus,,,
Digital Humanities,1012048-8 (Uni),4048989-9 (Regensburg),4011882-4,de,11,?,?,1,Modeling; Theorizing; Contextualizing; Designing; Programming; Converting; Data Recognition; Extracting; Gathering; Discovering; Imaging; Annotating; Data Cleansing; Editing; Web Development; Publishing; Sharing; Archiving; Preserving; Identifying; Organizing; Content Analysis; Network Analysis; Relational Analysis;,120/120,M.A.,Wintersemester,4,Eignungsverfahren,"Maschinelle Sprachverarbeitung, maschinelles Lernen und künstliche Intelligenz in den Geisteswissenschaften, empirische Studien zum Informationsverhalten, geographische Informationssysteme, nutzerzentriertes Design und Web-Entwicklung",,https://www.uni-regensburg.de/sprache-literatur-kultur/digital-humanities/startseite/index.html,mareike.schumacher@ur.de
(in Planung),Rostock,,4011882-4,,,,,,,,,,,,,,,
Language und Communication Technologies,2024427-7 (UdS),4076912-4 (Saarbrücken),4011882-4,en,verschiedene,verschiedene,verschiedene,2,Keine genaueren Inhalte beschrieben,?/120,M.A.; M.Sc.,,4,"Bachelor in Geistes-, Kultur- Informationswissenschaften; Zulassungsverfahren",Studieren an zwei Universitäten; je nach Auswahl der Kurse M.A. oder M.Sc. Abschluss (für jede Universität einen),,https://lct-master.org/,lct-admin@lst.uni-saarland.de
Digital Humanities,36186-0 (Uni),4058282-6 (Stuttgart),4011882-4,de,?,Literaturwissenschaft,?,1,Modeling; Theorizing; Contextualizing; Annotating; Data Cleansing; Editing; Archiving; Preserving; Identifying; Organizing; Converting; Data Recognition; Extracting; Gathering; Designing; Programming; Collaborating; Commenting; Communicating; Publishing; Sharing; Archiving; Preserving; Identifying; Organizing,57/120,M.A.,Wintersemester,4,"Bachelor in geistenswissenschaftlichem Studium; zB Geschichte, Philosophie, Kulturwissenschaft, Germanistik, Romanistik, Anglistik oder Geschichte der Naturwissenschaft und Technik; Note mind. 2,5",,,https://www.ilw.uni-stuttgart.de/lehre/digital-humanities/,pascal.hein@ilw.uni-stuttgart.de
Digital Humanities,26331-X (Universität Trier),4060877-3 (Trier),4011882-4,"de, en","112, 115",Computerlinguistik & Digital Humanities,Digital Humanities; Digitale Lexikografie,1,,,MSc,"Wintersemester, Sommersemester",4,Bachelor in Geistes- oder Kulturwissenschaft oder Informatikwissenschaft,starke praktische Komponente,,https://www.uni-trier.de/index.php?id=68016,ripoll@uni-trier.de
Natural Language Processing,26331-X (Universität Trier),4060877-3 (Trier),4011882-4,en,,Computerlinguistik & Digital Humanities,Computerlinguistik,2,,,MSc,"Wintersemester, Sommersemester",4,"Bachelor in Informatikwissenschaften, Kommunikationswissenschaften, Linguistik","Künstliche Intelligenz, insbesondere maschinelles Lernen und semantische Technologien, Methoden zur Analyse, Verwaltung und Generierung von Texten und Medien",,https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-ii/faecher/computerlinguistik-und-digital-humanities/computerlinguistik/studium/msc-natural-language-processing,werners@uni-trier.de
"Sprache, Technologie, Medien",26331-X (Universität Trier),4060877-3 (Trier),4011882-4,de,,Computerlinguistik & Digital Humanities,,2,,,BSc,"Wintersemester, Sommersemester",6,keine,"sehr interdisziplinär, mit der Möglichkeit einen individuellen Schwerpunkt zu wählen; deutschlandweit einzigartige Kombination und Wahlmöglichkeit zwischen den Schwerpunkten Phonetik, Computerlinguistik und Digital Humanities",,https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-ii/faecher/computerlinguistik-und-digital-humanities/infos-fuer-studieninteressierte/der-bsc-studiengang-stem,werners@uni-trier.de
"[ ""Digital Humanities"" in geisteswissenschaftlichen Masterstudiengänge]",Tübingen,,,,,,,3,,30/??,Masterprofil,,,,,,,
(Profil Digital Humanities im Fach) Kulturwissenschaften,Vechta,,,,,,,3,,,MA (DH-Anteile),,,,,,,
(Profil Digital Humanities im Fach) Kulturwissenschaften,Vechta,,,,,,,3,,,BA (DH-Anteile),,,,,,,
,Wien,,,,,,,,,,,,,,,,,
(Profil Digitales Kulturerbe im Fach) Editions- und Dokumentwissenschaft,64944-2 Wuppertal,4067084-3 (Wuppertal),4011882-4,de,,"Literaturwissenschaft, Geschichte, Medieninformatik, Design","Neuere Deutsche Literatur, Digital Humanities, Druck- und Medientechnik",3,,36/120,MA (DH-Anteile),Wintersemester,4,BA-Abschluss in einem geisteswissenschaftlichen Fach,,"Kulturerbedigitalisierung, Erschließung, Edition, digitale Publikation",https://www.uni-wuppertal.de/de/studium/studiengaenge/master/ma-editions-und-dokumentwissenschaft-ein-fach-studiengaenge/,"nuttkofo@uni-wuppertal.de; sahle@uni-wuppertal.de; karl-heinrich.schmidt@dmt.uni-wuppertal.de

"
Digital Humanities,Würzburg,,,,,,,1,,,BA,,,,,,,
Digital Humanities,Würzburg,,,,,,,1,,,MA,,,,,,,
Digital Humanities,2024114-8 (Technische Universität Dresden),4012995-0 (Dresden),4011889-7,,,,,,,,,,,,,,,
